userId,itemId,rating
1,19,8.0
1,205,8.0
1,877,7.0
1,18245,9.0
1,30015,9.0
1,31240,9.0
1,31765,9.0
1,31798,9.0
1,31964,7.0
1,32281,9.0
1,32615,8.0
1,32729,5.0
1,32901,7.0
1,32949,7.0
1,33352,10.0
1,33487,7.0
1,33674,10.0
1,34599,8.0
1,34618,9.0
1,34933,8.0
1,35062,9.0
1,35076,6.0
1,35203,7.0
2,853,10.0
2,3588,10.0
2,9253,10.0
2,9756,10.0
2,9989,9.0
2,10408,9.0
2,10620,9.0
2,23289,9.0
2,33674,8.0
2,34280,8.0
2,34599,10.0
2,34933,7.0
2,35076,7.0
2,35507,8.0
11,47,7.0
11,57,7.0
11,59,6.0
11,101,8.0
11,120,6.0
11,150,6.0
11,199,10.0
11,205,10.0
11,226,7.0
11,227,9.0
11,245,8.0
11,413,1.0
11,578,10.0
11,790,7.0
11,849,8.0
11,853,8.0
11,1292,5.0
11,1530,6.0
11,1639,7.0
11,1887,8.0
11,2167,8.0
11,2993,5.0
11,4224,6.0
11,4382,8.0
11,4898,8.0
11,5630,8.0
11,5680,5.0
11,5682,6.0
11,6347,9.0
11,7054,6.0
11,7724,8.0
11,8074,7.0
11,8525,8.0
11,8795,6.0
11,9756,8.0
11,15809,6.0
11,16592,7.0
11,33206,6.0
11,33487,5.0
17,2001,10.0
17,4224,8.0
17,5081,6.0
17,5680,9.0
17,7311,9.0
17,9989,9.0
17,10620,7.0
17,10793,7.0
17,11617,6.0
17,12189,9.0
17,15051,9.0
17,15583,7.0
17,16067,8.0
17,18679,9.0
17,18897,8.0
17,19815,9.0
17,20583,8.0
17,22199,7.0
17,22319,8.0
17,23283,8.0
17,24765,8.0
17,24833,8.0
17,27899,5.0
17,28171,10.0
17,28999,7.0
17,30276,8.0
17,30654,9.0
17,30831,9.0
17,31240,8.0
17,31964,8.0
17,33206,9.0
17,33352,8.0
17,33486,9.0
17,34240,9.0
17,34280,6.0
17,34798,9.0
17,34822,9.0
17,35839,10.0
17,35849,7.0
21,1575,7.0
21,2001,6.0
21,2167,4.0
21,4181,5.0
21,11757,5.0
21,11771,5.0
21,22199,5.0
26,2025,10.0
26,4181,10.0
32,1,10.0
32,6,8.0
32,20,5.0
32,30,7.0
32,32,5.0
32,121,9.0
32,150,7.0
32,227,9.0
32,245,9.0
32,249,7.0
32,339,10.0
32,384,4.0
32,392,6.0
32,777,7.0
32,820,9.0
32,1210,9.0
32,3588,5.0
32,4898,8.0
32,5114,6.0
32,5681,9.0
32,5682,7.0
32,6594,8.0
32,7785,8.0
32,8074,5.0
32,8769,7.0
32,8861,2.0
32,9756,8.0
32,9919,7.0
32,10087,8.0
32,10163,7.0
32,10620,4.0
32,10721,9.0
32,10793,5.0
32,11111,7.0
32,11617,6.0
32,11757,5.0
32,11759,6.0
32,12531,9.0
32,13601,9.0
32,13759,7.0
32,14345,7.0
32,14741,7.0
32,14813,8.0
32,15315,7.0
32,16067,7.0
32,16524,8.0
32,16742,6.0
32,17265,7.0
32,17895,6.0
32,18679,8.0
32,22199,5.0
32,22319,7.0
32,23281,5.0
32,23283,7.0
32,25013,8.0
32,27775,6.0
32,28223,9.0
32,28497,6.0
32,30015,8.0
32,31240,9.0
32,31646,9.0
32,31798,7.0
32,32281,6.0
32,32615,7.0
32,32901,3.0
32,32949,8.0
32,32995,8.0
32,33352,8.0
32,33489,9.0
32,34561,8.0
32,34599,9.0
32,34662,6.0
32,34798,7.0
32,35507,7.0
32,35849,6.0
32,37450,9.0
32,37520,8.0
32,37999,5.0
40,12531,9.0
40,22135,10.0
45,22135,9.0
45,23281,7.0
47,121,10.0
47,853,10.0
47,1535,9.0
47,1575,9.0
47,3457,9.0
47,3588,8.0
47,4898,10.0
47,5114,10.0
47,6880,8.0
47,9253,8.0
47,9756,8.0
47,15809,7.0
47,18507,8.0
47,20583,9.0
47,30276,7.0
47,31964,9.0
47,32995,10.0
51,20,10.0
51,199,9.0
51,226,9.0
51,269,9.0
51,356,9.0
51,431,10.0
51,853,9.0
51,1535,9.0
51,1735,10.0
51,4081,8.0
51,4898,7.0
51,5114,10.0
51,5630,7.0
51,6045,9.0
51,6746,7.0
51,8074,7.0
51,9253,8.0
51,9919,8.0
51,10087,9.0
51,10408,7.0
51,10620,7.0
51,11111,10.0
51,11741,8.0
51,11757,8.0
51,11771,10.0
51,11887,7.0
51,12531,8.0
51,13601,9.0
51,14467,8.0
51,14813,9.0
51,15037,8.0
51,18507,10.0
51,19815,7.0
51,20583,10.0
51,21881,8.0
51,21995,8.0
51,22297,8.0
51,22319,8.0
51,23281,8.0
51,27899,8.0
51,28171,10.0
